target,best_result
-398871,-398871
-387625,-387625
-384725,-384725
-395219,-384725
-394266,-384725
-392363,-384725
-400142,-384725
-401423,-384725
-383176,-383176
-395297,-383176
-388246,-383176
-393389,-383176
-393328,-383176
-395604,-383176
-385361,-383176
-393893,-383176
-404131,-383176
-375464,-375464
-386125,-375464
-391980,-375464
-405979,-375464
-379009,-375464
-397978,-375464
-386460,-375464
-397063,-375464
-395926,-375464
-373273,-373273
-402183,-373273
-384432,-373273
-384048,-373273
-396544,-373273
-387018,-373273
-380683,-373273
-379414,-373273
-394710,-373273
-389221,-373273
-383063,-373273
-382853,-373273
-391640,-373273
-387324,-373273
-383804,-373273
-383281,-373273
-393320,-373273
-391485,-373273
-395589,-373273
-393134,-373273
-393803,-373273
-387623,-373273
-385869,-373273
-386041,-373273
-385899,-373273
-385357,-373273
-392130,-373273
-402410,-373273
-378325,-373273
-385092,-373273
-381079,-373273
-383674,-373273
-387854,-373273
-394373,-373273
-393618,-373273
-393987,-373273
-375160,-373273
-392057,-373273
-381582,-373273
-384133,-373273
-402448,-373273
-395865,-373273
-401724,-373273
-390487,-373273
-377195,-373273
-411915,-373273
-390482,-373273
-382068,-373273
-394732,-373273
-390059,-373273
-392914,-373273
-392555,-373273
-384300,-373273
-377693,-373273
-394102,-373273
-392451,-373273
-384180,-373273
-410191,-373273
-384850,-373273
-393177,-373273
-383114,-373273
-382218,-373273
-397176,-373273
-378456,-373273
-393490,-373273
-397842,-373273
-382230,-373273
-379893,-373273
-385603,-373273
-385368,-373273
-391770,-373273
-391478,-373273
-374339,-373273
-380972,-373273
-390438,-373273
-383545,-373273
-382792,-373273
-391060,-373273
-380633,-373273
-391453,-373273
-388999,-373273
-381458,-373273
-382264,-373273
-386942,-373273
-388598,-373273
-385990,-373273
-399183,-373273
-403054,-373273
-393413,-373273
-387691,-373273
-382273,-373273
-389348,-373273
-397022,-373273
-383893,-373273
-388493,-373273
-386974,-373273
-399385,-373273
-392847,-373273
-385050,-373273
-399602,-373273
-383499,-373273
-382635,-373273
-380869,-373273
-380286,-373273
-394340,-373273
-387648,-373273
-400841,-373273
-365726,-365726
-390433,-365726
-404231,-365726
-390019,-365726
-390730,-365726
-375667,-365726
-384459,-365726
-381162,-365726
-383883,-365726
-381685,-365726
-378137,-365726
-375134,-365726
-383662,-365726
-385568,-365726
-393414,-365726
-375535,-365726
-383719,-365726
-389798,-365726
-385347,-365726
-391354,-365726
-387021,-365726
-377464,-365726
-377899,-365726
-392807,-365726
-398534,-365726
-384901,-365726
-395558,-365726
-394828,-365726
-375017,-365726
-388608,-365726
-384124,-365726
-379506,-365726
-373585,-365726
-393101,-365726
-404681,-365726
-373507,-365726
-385315,-365726
-386055,-365726
-374572,-365726
-385556,-365726
-380187,-365726
-385776,-365726
-387333,-365726
-396927,-365726
-389951,-365726
-396893,-365726
-404392,-365726
-375607,-365726
-364182,-364182
-382147,-364182
-373922,-364182
-382178,-364182
-371177,-364182
-395586,-364182
-381779,-364182
-370144,-364182
-381159,-364182
-375946,-364182
-377908,-364182
-401113,-364182
-386025,-364182
-383168,-364182
-387061,-364182
-391232,-364182
-387027,-364182
-386002,-364182
-383346,-364182
