target,best_result
-113870,-113870
-122917,-113870
-115382,-113870
-113009,-113009
-116372,-113009
-109512,-109512
-115145,-109512
-118180,-109512
-115586,-109512
-115837,-109512
-117559,-109512
-114495,-109512
-114764,-109512
-114702,-109512
-117377,-109512
-111453,-109512
-108947,-108947
-116457,-108947
-112173,-108947
-117379,-108947
-108795,-108795
-117382,-108795
-118323,-108795
-112325,-108795
-110982,-108795
-118053,-108795
-115919,-108795
-113655,-108795
-117082,-108795
-121250,-108795
-113810,-108795
-109864,-108795
-111708,-108795
-114229,-108795
-114997,-108795
-112140,-108795
-120808,-108795
-112795,-108795
-114391,-108795
-113731,-108795
-115689,-108795
-111603,-108795
-108928,-108795
-107798,-107798
-111961,-107798
-117823,-107798
-115424,-107798
-113674,-107798
-112018,-107798
-113161,-107798
-107061,-107061
-113847,-107061
-109854,-107061
-108883,-107061
-108785,-107061
-110575,-107061
-107201,-107061
-115141,-107061
-112477,-107061
-108421,-107061
-111653,-107061
-116583,-107061
-109610,-107061
-111663,-107061
-116667,-107061
-112540,-107061
-113219,-107061
-112965,-107061
-110926,-107061
-115001,-107061
-118778,-107061
-107987,-107061
-114835,-107061
-113191,-107061
-115551,-107061
-112255,-107061
-108470,-107061
-110277,-107061
-109441,-107061
-110127,-107061
-112179,-107061
-109771,-107061
-114213,-107061
-107916,-107061
-118555,-107061
-114549,-107061
-109366,-107061
-116014,-107061
-116212,-107061
-111068,-107061
-109280,-107061
-109863,-107061
-112152,-107061
-110653,-107061
-113702,-107061
-114181,-107061
-114429,-107061
-110637,-107061
-111450,-107061
-112156,-107061
-115886,-107061
-113985,-107061
-108829,-107061
-115246,-107061
-110591,-107061
-116133,-107061
-109803,-107061
-110079,-107061
-109902,-107061
-108758,-107061
-113006,-107061
-107478,-107061
-107297,-107061
-111722,-107061
-111445,-107061
-109700,-107061
-112104,-107061
-119139,-107061
-114166,-107061
-109845,-107061
-112566,-107061
-112079,-107061
-116097,-107061
-108711,-107061
-107922,-107061
-110991,-107061
-111528,-107061
-113258,-107061
-110700,-107061
-115811,-107061
-109034,-107061
-116156,-107061
-111814,-107061
-114807,-107061
-113159,-107061
-114044,-107061
-114487,-107061
-106902,-106902
-111181,-106902
-111170,-106902
-111361,-106902
-112021,-106902
-116563,-106902
-113575,-106902
-114474,-106902
-110986,-106902
-108340,-106902
-111936,-106902
-116354,-106902
-110418,-106902
-113117,-106902
-112968,-106902
-108154,-106902
-108704,-106902
-112445,-106902
-109899,-106902
-110147,-106902
-109293,-106902
-111368,-106902
-112293,-106902
-111613,-106902
-112590,-106902
-109476,-106902
-106126,-106126
-112232,-106126
-110719,-106126
-113369,-106126
-103339,-103339
-109089,-103339
-110313,-103339
-112823,-103339
-105271,-103339
-108725,-103339
-111224,-103339
-114173,-103339
-106935,-103339
-108903,-103339
-109954,-103339
-109705,-103339
-106503,-103339
-112221,-103339
-113504,-103339
-108801,-103339
-111180,-103339
-105165,-103339
-107379,-103339
-111204,-103339
-111039,-103339
-110098,-103339
-109357,-103339
-112330,-103339
-110317,-103339
-113771,-103339
-110697,-103339
-115393,-103339
-113366,-103339
-111352,-103339
-109882,-103339
-116841,-103339
-111259,-103339
