target,best_result
-389096,-389096
-390022,-389096
-388799,-388799
-382137,-382137
-373931,-373931
-383343,-373931
-380744,-373931
-380727,-373931
-389263,-373931
-390641,-373931
-377224,-373931
-388885,-373931
-385025,-373931
-389678,-373931
-394408,-373931
-388952,-373931
-397357,-373931
-394509,-373931
-381765,-373931
-374850,-373931
-378073,-373931
-408929,-373931
-385335,-373931
-391071,-373931
-396991,-373931
-390070,-373931
-388568,-373931
-384622,-373931
-403816,-373931
-394006,-373931
-373643,-373643
-379281,-373643
-378800,-373643
-379945,-373643
-390540,-373643
-380640,-373643
-388229,-373643
-386559,-373643
-372454,-372454
-386989,-372454
-383817,-372454
-393138,-372454
-372814,-372454
-396309,-372454
-392376,-372454
-373813,-372454
-382660,-372454
-392009,-372454
-389241,-372454
-380560,-372454
-371016,-371016
-387092,-371016
-382901,-371016
-391329,-371016
-379583,-371016
-389622,-371016
-394416,-371016
-394361,-371016
-390997,-371016
-381887,-371016
-385784,-371016
-395757,-371016
-376949,-371016
-390795,-371016
-383552,-371016
-397075,-371016
-390810,-371016
-383573,-371016
-389655,-371016
-378339,-371016
-378881,-371016
-394579,-371016
-392958,-371016
-384280,-371016
-388664,-371016
-401256,-371016
-382692,-371016
-385664,-371016
-380147,-371016
-384961,-371016
-377509,-371016
-397775,-371016
-386879,-371016
-380768,-371016
-377532,-371016
-384545,-371016
-393863,-371016
-375613,-371016
-384076,-371016
-379959,-371016
-379399,-371016
-379734,-371016
-392769,-371016
-378498,-371016
-368784,-368784
-394228,-368784
-382584,-368784
-384474,-368784
-385036,-368784
-381593,-368784
-366806,-366806
-385179,-366806
-373252,-366806
-375238,-366806
-387691,-366806
-374801,-366806
-383728,-366806
-391577,-366806
-389875,-366806
-379416,-366806
-388163,-366806
-378101,-366806
-394452,-366806
-382263,-366806
-362458,-362458
-376183,-362458
-377344,-362458
-385138,-362458
-398943,-362458
-377935,-362458
-373073,-362458
-370178,-362458
-386550,-362458
-385004,-362458
-385344,-362458
-376383,-362458
-367127,-362458
-366772,-362458
-375300,-362458
-384737,-362458
-387993,-362458
-365153,-362458
-385633,-362458
-370360,-362458
-383605,-362458
-385839,-362458
-384222,-362458
-372181,-362458
-389124,-362458
-387859,-362458
-374181,-362458
-378483,-362458
-395632,-362458
-374861,-362458
-388082,-362458
-371062,-362458
-384746,-362458
-390246,-362458
-370010,-362458
-395613,-362458
-382515,-362458
-389133,-362458
-383015,-362458
-371360,-362458
-374339,-362458
-367660,-362458
-373665,-362458
-372056,-362458
-379931,-362458
-380277,-362458
-373432,-362458
-384904,-362458
-385206,-362458
-386764,-362458
-387203,-362458
-383754,-362458
-388130,-362458
-374947,-362458
-393679,-362458
-394660,-362458
-367404,-362458
-378291,-362458
-381128,-362458
-381461,-362458
-379325,-362458
-368374,-362458
-390015,-362458
-382922,-362458
-400687,-362458
-382946,-362458
-370644,-362458
-361652,-361652
-383648,-361652
-372340,-361652
-385612,-361652
-383896,-361652
-374977,-361652
-364597,-361652
-368063,-361652
-373752,-361652
-384206,-361652
-376124,-361652
-370840,-361652
-379290,-361652
-392886,-361652
-379227,-361652
-384040,-361652
-378804,-361652
-377580,-361652
-373463,-361652
