target,best_result
-89853,-89853
-86114,-86114
-80052,-80052
-81516,-80052
-88990,-80052
-89790,-80052
-84366,-80052
-80296,-80052
-81121,-80052
-84313,-80052
-82328,-80052
-87448,-80052
-86222,-80052
-89148,-80052
-87380,-80052
-81091,-80052
-86844,-80052
-84482,-80052
-88128,-80052
-86197,-80052
-89987,-80052
-86903,-80052
-88966,-80052
-88675,-80052
-82103,-80052
-87767,-80052
-84362,-80052
-85793,-80052
-82134,-80052
-87031,-80052
-85577,-80052
-80741,-80052
-85879,-80052
-87255,-80052
-89047,-80052
-88144,-80052
-86049,-80052
-84027,-80052
-80070,-80052
-87907,-80052
-91451,-80052
-86293,-80052
-82543,-80052
-85908,-80052
-83610,-80052
-84630,-80052
-86216,-80052
-84655,-80052
-87350,-80052
-83253,-80052
-86894,-80052
-89833,-80052
-85990,-80052
-79960,-79960
-84244,-79960
-83870,-79960
-89387,-79960
-84944,-79960
-81128,-79960
-84917,-79960
-86746,-79960
-81220,-79960
-87531,-79960
-84375,-79960
-82319,-79960
-78888,-78888
-83400,-78888
-82115,-78888
-81043,-78888
-79562,-78888
-82448,-78888
-81368,-78888
-79559,-78888
-77481,-77481
-77395,-77395
-80346,-77395
-81652,-77395
-81443,-77395
-84076,-77395
-81913,-77395
-81351,-77395
-81266,-77395
-79320,-77395
-81242,-77395
-80395,-77395
-79707,-77395
-83428,-77395
-78998,-77395
-79583,-77395
-76224,-76224
-82214,-76224
-82863,-76224
-80794,-76224
-77287,-76224
-80003,-76224
-81726,-76224
-79668,-76224
-78544,-76224
-80218,-76224
-75405,-75405
-82868,-75405
-81763,-75405
-82397,-75405
-80201,-75405
-84046,-75405
-80478,-75405
-79381,-75405
-77865,-75405
-79402,-75405
-83476,-75405
-88904,-75405
-79955,-75405
-81715,-75405
-83209,-75405
-79973,-75405
-81985,-75405
-85892,-75405
-81374,-75405
-78287,-75405
-85466,-75405
-85656,-75405
-88406,-75405
-78726,-75405
-83300,-75405
-81461,-75405
-87474,-75405
-81956,-75405
-82155,-75405
-81187,-75405
-81232,-75405
-83288,-75405
-80879,-75405
-82129,-75405
-82487,-75405
-85962,-75405
-81502,-75405
-77284,-75405
-81985,-75405
-80880,-75405
-80491,-75405
-83442,-75405
-81262,-75405
-80908,-75405
-82701,-75405
-86446,-75405
-81072,-75405
-78592,-75405
-83722,-75405
-81590,-75405
-85100,-75405
-79748,-75405
-84258,-75405
-79466,-75405
-80503,-75405
-82611,-75405
-78064,-75405
-82405,-75405
-82255,-75405
-78720,-75405
-80816,-75405
-81767,-75405
-85843,-75405
-83808,-75405
-83316,-75405
-82159,-75405
-81854,-75405
-78735,-75405
-81096,-75405
-77404,-75405
-83416,-75405
-83040,-75405
-80843,-75405
-78431,-75405
-79338,-75405
-81253,-75405
-79851,-75405
-85843,-75405
-85612,-75405
-79011,-75405
-81230,-75405
-82256,-75405
-82151,-75405
-80138,-75405
-81392,-75405
-81243,-75405
-75370,-75370
-83652,-75370
-78132,-75370
-82052,-75370
-78240,-75370
-80724,-75370
-76323,-75370
-81946,-75370
-82934,-75370
-77106,-75370
-78733,-75370
-81312,-75370
-80612,-75370
-79789,-75370
-82530,-75370
