target,best_result
-88317,-88317
-86631,-86631
-86296,-86296
-90519,-86296
-89081,-86296
-91044,-86296
-86923,-86296
-87914,-86296
-91181,-86296
-90153,-86296
-86497,-86296
-89471,-86296
-87147,-86296
-92974,-86296
-88278,-86296
-87272,-86296
-93284,-86296
-89591,-86296
-94269,-86296
-93279,-86296
-89200,-86296
-90690,-86296
-88369,-86296
-88033,-86296
-88955,-86296
-90885,-86296
-87837,-86296
-85623,-85623
-90986,-85623
-88677,-85623
-88807,-85623
-93836,-85623
-87810,-85623
-86803,-85623
-91814,-85623
-90178,-85623
-91568,-85623
-92479,-85623
-93730,-85623
-91871,-85623
-92875,-85623
-85655,-85623
-92759,-85623
-90124,-85623
-85139,-85139
-94006,-85139
-81698,-81698
-83413,-81698
-84926,-81698
-92241,-81698
-85345,-81698
-89557,-81698
-83791,-81698
-88493,-81698
-87631,-81698
-82120,-81698
-86104,-81698
-88823,-81698
-82094,-81698
-86817,-81698
-94311,-81698
-82176,-81698
-87185,-81698
-89601,-81698
-85949,-81698
-80994,-80994
-80990,-80990
-84076,-80990
-83008,-80990
-85857,-80990
-82711,-80990
-87118,-80990
-87580,-80990
-78930,-78930
-84289,-78930
-84497,-78930
-84623,-78930
-88277,-78930
-84174,-78930
-89361,-78930
-84517,-78930
-80179,-78930
-83154,-78930
-88488,-78930
-82580,-78930
-84529,-78930
-87165,-78930
-88566,-78930
-91299,-78930
-87753,-78930
-87997,-78930
-78050,-78050
-81865,-78050
-84376,-78050
-84134,-78050
-83653,-78050
-85607,-78050
-84268,-78050
-81501,-78050
-80202,-78050
-88378,-78050
-82755,-78050
-85581,-78050
-85954,-78050
-86060,-78050
-86698,-78050
-86834,-78050
-89247,-78050
-88305,-78050
-80047,-78050
-88345,-78050
-84594,-78050
-84396,-78050
-88443,-78050
-85125,-78050
-84132,-78050
-81368,-78050
-86790,-78050
-88209,-78050
-85892,-78050
-84336,-78050
-82119,-78050
-85524,-78050
-84124,-78050
-84924,-78050
-83739,-78050
-85590,-78050
-81920,-78050
-83563,-78050
-82937,-78050
-86232,-78050
-84076,-78050
-85540,-78050
-89643,-78050
-86519,-78050
-83364,-78050
-81603,-78050
-82857,-78050
-84185,-78050
-83104,-78050
-86690,-78050
-85464,-78050
-90866,-78050
-84789,-78050
-92040,-78050
-85563,-78050
-84855,-78050
-88235,-78050
-94627,-78050
-84723,-78050
-85511,-78050
-83443,-78050
-85518,-78050
-81730,-78050
-80086,-78050
-82006,-78050
-88151,-78050
-87584,-78050
-82477,-78050
-88604,-78050
-82992,-78050
-85388,-78050
-83903,-78050
-86095,-78050
-89159,-78050
-90839,-78050
-85807,-78050
-83048,-78050
-86349,-78050
-82248,-78050
-84046,-78050
-88121,-78050
-84002,-78050
-86737,-78050
-85135,-78050
-83906,-78050
-86181,-78050
-82840,-78050
-84193,-78050
-83207,-78050
-86846,-78050
-82847,-78050
-82380,-78050
-86756,-78050
-81836,-78050
-85357,-78050
-85527,-78050
-86429,-78050
-83075,-78050
-86163,-78050
-85028,-78050
-85890,-78050
-83182,-78050
-83564,-78050
-80974,-78050
-85208,-78050
-80974,-78050
-88741,-78050
-86310,-78050
-83849,-78050
