target,best_result
-372804,-372804
-369633,-369633
-387714,-369633
-376244,-369633
-380133,-369633
-376093,-369633
-386409,-369633
-384004,-369633
-366674,-366674
-376584,-366674
-365356,-365356
-376160,-365356
-378972,-365356
-378111,-365356
-379572,-365356
-378146,-365356
-363959,-363959
-375846,-363959
-375904,-363959
-360139,-360139
-370708,-360139
-377764,-360139
-374851,-360139
-373628,-360139
-355117,-355117
-367780,-355117
-361184,-355117
-373448,-355117
-367435,-355117
-371684,-355117
-369228,-355117
-368175,-355117
-366487,-355117
-353598,-353598
-382014,-353598
-372058,-353598
-367158,-353598
-357663,-353598
-379926,-353598
-383395,-353598
-368331,-353598
-362277,-353598
-369024,-353598
-372460,-353598
-369029,-353598
-369869,-353598
-382823,-353598
-368877,-353598
-362110,-353598
-354482,-353598
-380393,-353598
-368053,-353598
-378821,-353598
-373255,-353598
-385702,-353598
-372104,-353598
-374085,-353598
-371748,-353598
-376515,-353598
-375815,-353598
-358699,-353598
-363374,-353598
-390889,-353598
-362601,-353598
-382754,-353598
-366655,-353598
-382032,-353598
-358657,-353598
-371980,-353598
-371377,-353598
-363903,-353598
-366315,-353598
-370447,-353598
-365788,-353598
-377995,-353598
-363281,-353598
-367157,-353598
-375798,-353598
-366620,-353598
-368726,-353598
-368672,-353598
-366038,-353598
-375924,-353598
-385106,-353598
-361139,-353598
-355025,-353598
-376047,-353598
-379537,-353598
-387939,-353598
-368192,-353598
-377717,-353598
-365742,-353598
-370879,-353598
-366849,-353598
-358856,-353598
-382561,-353598
-363665,-353598
-371402,-353598
-376060,-353598
-373021,-353598
-368108,-353598
-355375,-353598
-370342,-353598
-377939,-353598
-369968,-353598
-378102,-353598
-369673,-353598
-376267,-353598
-377703,-353598
-373267,-353598
-375727,-353598
-369397,-353598
-372996,-353598
-367786,-353598
-368075,-353598
-384273,-353598
-374148,-353598
-367795,-353598
-378047,-353598
-362691,-353598
-365640,-353598
-368882,-353598
-380145,-353598
-381687,-353598
-361867,-353598
-373618,-353598
-369369,-353598
-370115,-353598
-362693,-353598
-368340,-353598
-366640,-353598
-376740,-353598
-371311,-353598
-363456,-353598
-363733,-353598
-378111,-353598
-362119,-353598
-371090,-353598
-369239,-353598
-380068,-353598
-365425,-353598
-378635,-353598
-367670,-353598
-381152,-353598
-381858,-353598
-373166,-353598
-354297,-353598
-359372,-353598
-374193,-353598
-355497,-353598
-381631,-353598
-368903,-353598
-364555,-353598
-377174,-353598
-382078,-353598
-365157,-353598
-372641,-353598
-369743,-353598
-375848,-353598
-376606,-353598
-370576,-353598
-379139,-353598
-364449,-353598
-358168,-353598
-381820,-353598
-366646,-353598
-358250,-353598
-367596,-353598
-371837,-353598
-379868,-353598
-384675,-353598
-372923,-353598
-370684,-353598
-372209,-353598
-379844,-353598
-358399,-353598
-362404,-353598
-372620,-353598
-362967,-353598
-363890,-353598
-384067,-353598
-350822,-350822
-364369,-350822
-361511,-350822
-371950,-350822
-375351,-350822
-389613,-350822
-367290,-350822
-370079,-350822
-364324,-350822
-367576,-350822
-369185,-350822
-369204,-350822
-363770,-350822
-367823,-350822
-372565,-350822
-379225,-350822
-389802,-350822
-367663,-350822
-364234,-350822
