target,best_result
-93984,-93984
-89896,-89896
-93366,-89896
-96330,-89896
-103612,-89896
-87466,-87466
-87437,-87437
-98176,-87437
-92091,-87437
-90714,-87437
-90242,-87437
-91728,-87437
-95813,-87437
-90840,-87437
-90943,-87437
-94654,-87437
-90002,-87437
-86045,-86045
-92719,-86045
-87825,-86045
-91703,-86045
-89384,-86045
-92961,-86045
-92495,-86045
-87809,-86045
-93993,-86045
-88173,-86045
-88470,-86045
-88916,-86045
-84854,-84854
-89755,-84854
-88630,-84854
-95603,-84854
-85708,-84854
-94256,-84854
-86197,-84854
-87724,-84854
-96180,-84854
-90438,-84854
-88659,-84854
-87070,-84854
-86924,-84854
-89425,-84854
-91317,-84854
-87994,-84854
-90364,-84854
-91818,-84854
-88963,-84854
-90862,-84854
-86021,-84854
-89056,-84854
-93248,-84854
-91263,-84854
-93417,-84854
-88766,-84854
-88912,-84854
-98887,-84854
-91566,-84854
-86140,-84854
-87914,-84854
-91321,-84854
-89048,-84854
-86185,-84854
-89259,-84854
-87378,-84854
-92330,-84854
-87419,-84854
-92487,-84854
-91824,-84854
-87520,-84854
-89525,-84854
-88560,-84854
-85186,-84854
-91680,-84854
-83473,-83473
-91539,-83473
-88633,-83473
-91128,-83473
-86164,-83473
-84974,-83473
-90961,-83473
-89381,-83473
-84901,-83473
-87010,-83473
-88100,-83473
-89703,-83473
-95612,-83473
-87401,-83473
-84199,-83473
-87438,-83473
-85899,-83473
-87708,-83473
-89448,-83473
-88248,-83473
-86241,-83473
-88109,-83473
-86713,-83473
-88559,-83473
-87774,-83473
-84823,-83473
-91172,-83473
-90238,-83473
-96579,-83473
-87636,-83473
-91257,-83473
-91718,-83473
-85122,-83473
-94062,-83473
-88411,-83473
-84752,-83473
-86468,-83473
-89596,-83473
-93026,-83473
-84397,-83473
-86511,-83473
-86976,-83473
-84325,-83473
-87728,-83473
-87760,-83473
-95768,-83473
-85618,-83473
-87650,-83473
-87848,-83473
-84985,-83473
-84113,-83473
-89489,-83473
-91475,-83473
-96557,-83473
-85958,-83473
-90809,-83473
-92292,-83473
-89952,-83473
-84780,-83473
-94887,-83473
-89252,-83473
-84789,-83473
-92155,-83473
-88643,-83473
-89450,-83473
-84793,-83473
-89800,-83473
-90158,-83473
-86836,-83473
-85690,-83473
-89419,-83473
-88095,-83473
-90362,-83473
-87470,-83473
-88848,-83473
-89381,-83473
-87653,-83473
-96206,-83473
-88223,-83473
-87715,-83473
-87924,-83473
-85668,-83473
-86423,-83473
-85136,-83473
-87630,-83473
-90459,-83473
-93886,-83473
-92922,-83473
-91758,-83473
-88782,-83473
-95713,-83473
-92661,-83473
-90549,-83473
-90137,-83473
-86413,-83473
-92915,-83473
-86067,-83473
-91812,-83473
-92974,-83473
-89168,-83473
-84426,-83473
-87126,-83473
-94907,-83473
-86021,-83473
-86146,-83473
-90913,-83473
-94981,-83473
-89209,-83473
-86628,-83473
-89932,-83473
-91878,-83473
-86943,-83473
-88164,-83473
-88523,-83473
-90863,-83473
-83046,-83046
-90552,-83046
-93899,-83046
-89609,-83046
-87287,-83046
-86427,-83046
-85316,-83046
-85418,-83046
-92348,-83046
-88855,-83046
-86636,-83046
