target,best_result
-92374,-92374
-97751,-92374
-98414,-92374
-92379,-92374
-94745,-92374
-89935,-89935
-92030,-89935
-92749,-89935
-93227,-89935
-97693,-89935
-89559,-89559
-92741,-89559
-91342,-89559
-88992,-88992
-95024,-88992
-94453,-88992
-94425,-88992
-90124,-88992
-85305,-85305
-93420,-85305
-95050,-85305
-96042,-85305
-89988,-85305
-90659,-85305
-91575,-85305
-91933,-85305
-83515,-83515
-93578,-83515
-92036,-83515
-94980,-83515
-85787,-83515
-92973,-83515
-89990,-83515
-90269,-83515
-86109,-83515
-88474,-83515
-93499,-83515
-90266,-83515
-90216,-83515
-92348,-83515
-92826,-83515
-93481,-83515
-93212,-83515
-92750,-83515
-93636,-83515
-94906,-83515
-94453,-83515
-91236,-83515
-90504,-83515
-93577,-83515
-93068,-83515
-92995,-83515
-88373,-83515
-92417,-83515
-94197,-83515
-91470,-83515
-94862,-83515
-97639,-83515
-85055,-83515
-87721,-83515
-94342,-83515
-94469,-83515
-90537,-83515
-95105,-83515
-88734,-83515
-91058,-83515
-86364,-83515
-90959,-83515
-92598,-83515
-87696,-83515
-89511,-83515
-90925,-83515
-91511,-83515
-88249,-83515
-86185,-83515
-91871,-83515
-94346,-83515
-93800,-83515
-90045,-83515
-85556,-83515
-90728,-83515
-89567,-83515
-91339,-83515
-89054,-83515
-87722,-83515
-88775,-83515
-91304,-83515
-92575,-83515
-91253,-83515
-92743,-83515
-90660,-83515
-87195,-83515
-88886,-83515
-87214,-83515
-89329,-83515
-85361,-83515
-96827,-83515
-90082,-83515
-89718,-83515
-93348,-83515
-88560,-83515
-93291,-83515
-92218,-83515
-86637,-83515
-92398,-83515
-94348,-83515
-84231,-83515
-91786,-83515
-98468,-83515
-92511,-83515
-90435,-83515
-91194,-83515
-91253,-83515
-92890,-83515
-87780,-83515
-89569,-83515
-88272,-83515
-82459,-82459
-93094,-82459
-88325,-82459
-89751,-82459
-90935,-82459
-90766,-82459
-91168,-82459
-88870,-82459
-90978,-82459
-93347,-82459
-87787,-82459
-90360,-82459
-93440,-82459
-89537,-82459
-89829,-82459
-89986,-82459
-89336,-82459
-88841,-82459
-88046,-82459
-89608,-82459
-94717,-82459
-83589,-82459
-93789,-82459
-90124,-82459
-90088,-82459
-96165,-82459
-93601,-82459
-92897,-82459
-94279,-82459
-89366,-82459
-91667,-82459
-94877,-82459
-92593,-82459
-91476,-82459
-87307,-82459
-91552,-82459
-93205,-82459
-97437,-82459
-91399,-82459
-93050,-82459
-89038,-82459
-92268,-82459
-86665,-82459
-87596,-82459
-91061,-82459
-93248,-82459
-86473,-82459
-86699,-82459
-92127,-82459
-93570,-82459
-87820,-82459
-89196,-82459
-91720,-82459
-91451,-82459
-88623,-82459
-84771,-82459
-83026,-82459
-89751,-82459
-87154,-82459
-90018,-82459
-90410,-82459
-92490,-82459
-86590,-82459
-87943,-82459
-89395,-82459
-97280,-82459
-90349,-82459
-86020,-82459
-83467,-82459
-89180,-82459
-85169,-82459
-86830,-82459
-90097,-82459
-88559,-82459
-92075,-82459
-88303,-82459
-89358,-82459
-87624,-82459
-87612,-82459
-87412,-82459
-93909,-82459
-88381,-82459
-85381,-82459
