target,best_result
-89104,-89104
-88752,-88752
-87274,-87274
-87642,-87274
-83827,-83827
-86633,-83827
-84684,-83827
-86952,-83827
-84061,-83827
-83585,-83585
-85413,-83585
-85876,-83585
-88528,-83585
-83928,-83585
-83752,-83585
-85231,-83585
-97818,-83585
-87684,-83585
-80962,-80962
-84919,-80962
-83690,-80962
-84232,-80962
-86233,-80962
-87132,-80962
-89009,-80962
-84515,-80962
-86958,-80962
-85287,-80962
-79170,-79170
-81393,-79170
-89759,-79170
-87574,-79170
-85714,-79170
-82791,-79170
-87555,-79170
-86111,-79170
-86625,-79170
-85298,-79170
-81333,-79170
-85500,-79170
-87987,-79170
-82288,-79170
-82971,-79170
-85164,-79170
-81435,-79170
-86751,-79170
-86759,-79170
-81838,-79170
-84941,-79170
-82508,-79170
-84641,-79170
-85356,-79170
-80309,-79170
-83199,-79170
-86535,-79170
-82367,-79170
-81524,-79170
-88216,-79170
-86325,-79170
-83890,-79170
-84738,-79170
-81723,-79170
-87259,-79170
-80877,-79170
-81964,-79170
-93056,-79170
-84548,-79170
-84626,-79170
-82341,-79170
-83762,-79170
-87787,-79170
-87570,-79170
-82507,-79170
-82342,-79170
-86708,-79170
-87582,-79170
-82147,-79170
-86489,-79170
-79857,-79170
-89158,-79170
-79956,-79170
-81467,-79170
-88437,-79170
-84810,-79170
-85556,-79170
-79707,-79170
-83283,-79170
-81661,-79170
-89323,-79170
-87884,-79170
-86970,-79170
-83065,-79170
-81430,-79170
-80673,-79170
-87485,-79170
-83739,-79170
-85891,-79170
-87966,-79170
-88993,-79170
-86871,-79170
-83059,-79170
-85606,-79170
-82903,-79170
-82778,-79170
-90875,-79170
-87247,-79170
-80709,-79170
-84739,-79170
-83879,-79170
-83460,-79170
-83693,-79170
-85962,-79170
-85654,-79170
-81605,-79170
-84758,-79170
-83732,-79170
-84598,-79170
-79343,-79170
-85286,-79170
-85513,-79170
-84986,-79170
-86219,-79170
-83637,-79170
-86602,-79170
-85532,-79170
-89182,-79170
-82495,-79170
-83719,-79170
-83893,-79170
-86730,-79170
-80360,-79170
-87629,-79170
-85328,-79170
-84572,-79170
-83883,-79170
-82101,-79170
-86610,-79170
-88033,-79170
-85225,-79170
-86315,-79170
-85268,-79170
-85104,-79170
-82957,-79170
-89518,-79170
-82145,-79170
-86943,-79170
-87340,-79170
-80119,-79170
-81177,-79170
-84134,-79170
-80138,-79170
-80635,-79170
-82210,-79170
-86444,-79170
-87192,-79170
-80692,-79170
-88753,-79170
-82754,-79170
-80293,-79170
-80397,-79170
-85200,-79170
-84407,-79170
-82319,-79170
-82052,-79170
-90445,-79170
-83060,-79170
-84837,-79170
-86430,-79170
-89815,-79170
-81427,-79170
-88893,-79170
-85298,-79170
-84831,-79170
-79968,-79170
-83496,-79170
-79473,-79170
-84093,-79170
-79511,-79170
-84393,-79170
-83441,-79170
-81640,-79170
-84542,-79170
-84133,-79170
-79124,-79124
-84178,-79124
-80959,-79124
-85197,-79124
-81966,-79124
-85105,-79124
-80557,-79124
-78344,-78344
-82589,-78344
-81882,-78344
-81991,-78344
-88081,-78344
-86149,-78344
-84051,-78344
-92088,-78344
-79631,-78344
-85535,-78344
