target,best_result
-87663,-87663
-89282,-87663
-87479,-87479
-90250,-87479
-92111,-87479
-91191,-87479
-87747,-87479
-85019,-85019
-88883,-85019
-83092,-83092
-85335,-83092
-84758,-83092
-85940,-83092
-85852,-83092
-89621,-83092
-85787,-83092
-88130,-83092
-93819,-83092
-83501,-83092
-83491,-83092
-87547,-83092
-86508,-83092
-92260,-83092
-86611,-83092
-84785,-83092
-92528,-83092
-91594,-83092
-84119,-83092
-82399,-82399
-83598,-82399
-79653,-79653
-94224,-79653
-83196,-79653
-91746,-79653
-79377,-79377
-85506,-79377
-83143,-79377
-84307,-79377
-83717,-79377
-81693,-79377
-90540,-79377
-92145,-79377
-89719,-79377
-87868,-79377
-87597,-79377
-80732,-79377
-86536,-79377
-89928,-79377
-85676,-79377
-84959,-79377
-85666,-79377
-86340,-79377
-84581,-79377
-84768,-79377
-84377,-79377
-86879,-79377
-81324,-79377
-83853,-79377
-87329,-79377
-81813,-79377
-87096,-79377
-87554,-79377
-88060,-79377
-85375,-79377
-83265,-79377
-87252,-79377
-87419,-79377
-91119,-79377
-80788,-79377
-88189,-79377
-92274,-79377
-85713,-79377
-83983,-79377
-83396,-79377
-91320,-79377
-86123,-79377
-83300,-79377
-86387,-79377
-88568,-79377
-87646,-79377
-85906,-79377
-83448,-79377
-78990,-78990
-85655,-78990
-87925,-78990
-84995,-78990
-85950,-78990
-93319,-78990
-84713,-78990
-84904,-78990
-88937,-78990
-84744,-78990
-90398,-78990
-86667,-78990
-89951,-78990
-88128,-78990
-86125,-78990
-86141,-78990
-83251,-78990
-81898,-78990
-90699,-78990
-85237,-78990
-90097,-78990
-85186,-78990
-83905,-78990
-83961,-78990
-88212,-78990
-87295,-78990
-90528,-78990
-83655,-78990
-81295,-78990
-82718,-78990
-83780,-78990
-82828,-78990
-86979,-78990
-89331,-78990
-85858,-78990
-88916,-78990
-84726,-78990
-81634,-78990
-82670,-78990
-89100,-78990
-80632,-78990
-88372,-78990
-87148,-78990
-95201,-78990
-85162,-78990
-83870,-78990
-84147,-78990
-86151,-78990
-87461,-78990
-87106,-78990
-83577,-78990
-89928,-78990
-83364,-78990
-81803,-78990
-89487,-78990
-87446,-78990
-86777,-78990
-84205,-78990
-85909,-78990
-83725,-78990
-86192,-78990
-86809,-78990
-86263,-78990
-86417,-78990
-84037,-78990
-85664,-78990
-85056,-78990
-84168,-78990
-86067,-78990
-84231,-78990
-88870,-78990
-84911,-78990
-81590,-78990
-85951,-78990
-86194,-78990
-88533,-78990
-82470,-78990
-89249,-78990
-81210,-78990
-82453,-78990
-85761,-78990
-83527,-78990
-85532,-78990
-82741,-78990
-85636,-78990
-84380,-78990
-82240,-78990
-84214,-78990
-86279,-78990
-89228,-78990
-83666,-78990
-82272,-78990
-87566,-78990
-88477,-78990
-83388,-78990
-86513,-78990
-88577,-78990
-87472,-78990
-85053,-78990
-86158,-78990
-89517,-78990
-85293,-78990
-86077,-78990
-91453,-78990
-84205,-78990
-85872,-78990
-79296,-78990
-84045,-78990
-82832,-78990
-82930,-78990
-82825,-78990
-83822,-78990
-80873,-78990
-87359,-78990
-79185,-78990
-82007,-78990
-82770,-78990
-83875,-78990
