target,best_result
-87553,-87553
-88996,-87553
-88597,-87553
-88435,-87553
-86559,-86559
-85530,-85530
-92231,-85530
-91294,-85530
-88051,-85530
-96687,-85530
-89420,-85530
-93154,-85530
-85767,-85530
-92669,-85530
-88133,-85530
-86957,-85530
-88834,-85530
-84929,-84929
-90414,-84929
-89219,-84929
-86751,-84929
-89201,-84929
-86330,-84929
-91312,-84929
-90294,-84929
-92790,-84929
-91448,-84929
-90751,-84929
-90864,-84929
-89334,-84929
-91615,-84929
-89103,-84929
-89886,-84929
-85751,-84929
-94757,-84929
-92163,-84929
-91359,-84929
-95061,-84929
-88134,-84929
-87919,-84929
-90178,-84929
-85864,-84929
-90162,-84929
-81993,-81993
-86458,-81993
-85247,-81993
-87314,-81993
-88621,-81993
-88675,-81993
-87985,-81993
-85592,-81993
-83740,-81993
-86187,-81993
-93508,-81993
-86101,-81993
-86672,-81993
-85495,-81993
-86348,-81993
-90188,-81993
-83500,-81993
-87385,-81993
-85389,-81993
-84596,-81993
-88172,-81993
-82497,-81993
-84520,-81993
-87719,-81993
-91553,-81993
-89771,-81993
-84296,-81993
-85059,-81993
-81707,-81707
-87656,-81707
-87408,-81707
-88811,-81707
-84024,-81707
-85662,-81707
-82675,-81707
-90727,-81707
-89640,-81707
-84823,-81707
-89283,-81707
-87554,-81707
-88849,-81707
-82082,-81707
-87550,-81707
-80788,-80788
-81900,-80788
-84658,-80788
-85645,-80788
-86123,-80788
-85042,-80788
-84759,-80788
-86106,-80788
-86765,-80788
-87070,-80788
-91656,-80788
-88120,-80788
-83606,-80788
-81550,-80788
-84008,-80788
-82042,-80788
-83823,-80788
-85949,-80788
-88506,-80788
-87252,-80788
-86448,-80788
-85004,-80788
-81323,-80788
-82745,-80788
-85837,-80788
-84704,-80788
-83799,-80788
-86499,-80788
-82715,-80788
-85248,-80788
-83397,-80788
-83242,-80788
-85896,-80788
-87840,-80788
-82565,-80788
-83684,-80788
-83883,-80788
-86606,-80788
-81916,-80788
-88636,-80788
-91187,-80788
-87498,-80788
-85830,-80788
-85365,-80788
-86658,-80788
-85018,-80788
-81558,-80788
-88158,-80788
-83684,-80788
-85513,-80788
-82407,-80788
-88476,-80788
-86691,-80788
-82038,-80788
-85769,-80788
-87244,-80788
-84336,-80788
-82935,-80788
-82725,-80788
-79935,-79935
-89796,-79935
-86819,-79935
-83250,-79935
-80146,-79935
-80959,-79935
-85418,-79935
-83205,-79935
-87517,-79935
-84325,-79935
-85516,-79935
-81978,-79935
-84377,-79935
-85720,-79935
-84685,-79935
-85505,-79935
-84338,-79935
-80804,-79935
-92146,-79935
-90248,-79935
-83938,-79935
-87484,-79935
-87292,-79935
-86623,-79935
-85062,-79935
-84410,-79935
-83413,-79935
-83687,-79935
-83911,-79935
-92629,-79935
-82073,-79935
-86164,-79935
-81275,-79935
-88690,-79935
-83073,-79935
-82209,-79935
-85306,-79935
-83069,-79935
-86804,-79935
-82018,-79935
-80761,-79935
-85048,-79935
-88189,-79935
-82382,-79935
-87201,-79935
-89522,-79935
-87300,-79935
-89451,-79935
-81262,-79935
-83486,-79935
-86646,-79935
-87047,-79935
-82270,-79935
-87875,-79935
-87395,-79935
