target,best_result
-316163,-316163
-313270,-313270
-313799,-313270
-333886,-313270
-307294,-307294
-316907,-307294
-328932,-307294
-318502,-307294
-320083,-307294
-322303,-307294
-326665,-307294
-332503,-307294
-326351,-307294
-323484,-307294
-317300,-307294
-314038,-307294
-311055,-307294
-308227,-307294
-318133,-307294
-328563,-307294
-318781,-307294
-314971,-307294
-322254,-307294
-317997,-307294
-318996,-307294
-334182,-307294
-315640,-307294
-312908,-307294
-307682,-307294
-318492,-307294
-321866,-307294
-322214,-307294
-327371,-307294
-317020,-307294
-327934,-307294
-324962,-307294
-314077,-307294
-308633,-307294
-327884,-307294
-341302,-307294
-326023,-307294
-326821,-307294
-333044,-307294
-317146,-307294
-324452,-307294
-319499,-307294
-325703,-307294
-323980,-307294
-319943,-307294
-320472,-307294
-319448,-307294
-330355,-307294
-311177,-307294
-315273,-307294
-321822,-307294
-307073,-307073
-298866,-298866
-327980,-298866
-309093,-298866
-308784,-298866
-311805,-298866
-309823,-298866
-326336,-298866
-317456,-298866
-313584,-298866
-330570,-298866
-316149,-298866
-320878,-298866
-310634,-298866
-320416,-298866
-314240,-298866
-311978,-298866
-309526,-298866
-317328,-298866
-314213,-298866
-308095,-298866
-319728,-298866
-317345,-298866
-322500,-298866
-318408,-298866
-317169,-298866
-308449,-298866
-302775,-298866
-320664,-298866
-318199,-298866
-316272,-298866
-322297,-298866
-317431,-298866
-315510,-298866
-311225,-298866
-320697,-298866
-316416,-298866
-302008,-298866
-324616,-298866
-324507,-298866
-307492,-298866
-304538,-298866
-311485,-298866
-314560,-298866
-311828,-298866
-306544,-298866
-331965,-298866
-325637,-298866
-316508,-298866
-303129,-298866
-323151,-298866
-309086,-298866
-314128,-298866
-301053,-298866
-321169,-298866
-312670,-298866
-316659,-298866
-324370,-298866
-312450,-298866
-319452,-298866
-326507,-298866
-316849,-298866
-319704,-298866
-336463,-298866
-312829,-298866
-316906,-298866
-322299,-298866
-299168,-298866
-320406,-298866
-308171,-298866
-311236,-298866
-323696,-298866
-301750,-298866
-303659,-298866
-317647,-298866
-317810,-298866
-316624,-298866
-314130,-298866
-301927,-298866
-308203,-298866
-307127,-298866
-307250,-298866
-320218,-298866
-321240,-298866
-315927,-298866
-322799,-298866
-312100,-298866
-310554,-298866
-324888,-298866
-328275,-298866
-312380,-298866
-327560,-298866
-302994,-298866
-306495,-298866
-300462,-298866
-324347,-298866
-321357,-298866
-315291,-298866
-313815,-298866
-305573,-298866
-309332,-298866
-300057,-298866
-308106,-298866
-321941,-298866
-320116,-298866
-320706,-298866
-309493,-298866
-318605,-298866
-305160,-298866
-318182,-298866
-312134,-298866
-313288,-298866
-314960,-298866
-304995,-298866
-306994,-298866
-323619,-298866
-310319,-298866
-303368,-298866
-316353,-298866
-313733,-298866
-326351,-298866
-303077,-298866
-296852,-296852
-317659,-296852
-323952,-296852
-308635,-296852
-309071,-296852
-315108,-296852
-319477,-296852
-322036,-296852
-321348,-296852
-317631,-296852
-323863,-296852
-300534,-296852
-326917,-296852
-311179,-296852
-297681,-296852
-313318,-296852
-309412,-296852
-302500,-296852
-307737,-296852
-307247,-296852
-312434,-296852
-312608,-296852
-310199,-296852
