target,best_result
-493790,-493790
-469919,-469919
-477324,-469919
-480589,-469919
-464491,-464491
-472958,-464491
-467232,-464491
-462828,-462828
-466527,-462828
-462859,-462828
-456335,-456335
-468630,-456335
-466391,-456335
-474527,-456335
-469089,-456335
-474014,-456335
-469933,-456335
-463519,-456335
-474209,-456335
-469782,-456335
-463343,-456335
-484181,-456335
-470072,-456335
-484559,-456335
-456750,-456335
-473621,-456335
-459340,-456335
-463410,-456335
-466979,-456335
-464854,-456335
-480683,-456335
-468154,-456335
-471833,-456335
-472853,-456335
-462370,-456335
-466491,-456335
-465102,-456335
-480307,-456335
-466094,-456335
-466771,-456335
-463383,-456335
-463307,-456335
-466011,-456335
-462554,-456335
-452098,-452098
-459201,-452098
-475010,-452098
-473477,-452098
-457012,-452098
-471886,-452098
-470671,-452098
-466553,-452098
-471087,-452098
-462080,-452098
-477980,-452098
-466951,-452098
-469983,-452098
-462828,-452098
-446661,-446661
-463142,-446661
-452481,-446661
-462436,-446661
-469068,-446661
-451783,-446661
-473226,-446661
-449333,-446661
-459728,-446661
-447163,-446661
-457253,-446661
-471791,-446661
-470155,-446661
-460875,-446661
-457581,-446661
-473170,-446661
-457041,-446661
-458755,-446661
-468535,-446661
-471869,-446661
-469449,-446661
-462755,-446661
-458017,-446661
-460941,-446661
-457890,-446661
-467608,-446661
-469888,-446661
-463711,-446661
-459916,-446661
-452109,-446661
-453607,-446661
-472760,-446661
-476928,-446661
-468308,-446661
-460150,-446661
-454498,-446661
-467434,-446661
-460717,-446661
-480410,-446661
-465281,-446661
-449426,-446661
-460210,-446661
-450774,-446661
-462346,-446661
-443849,-443849
-459358,-443849
-460464,-443849
-471996,-443849
-453474,-443849
-472091,-443849
-451163,-443849
-469789,-443849
-450774,-443849
-463906,-443849
-464749,-443849
-466278,-443849
-472699,-443849
-450826,-443849
-462726,-443849
-459039,-443849
-467821,-443849
-445906,-443849
-460471,-443849
-466367,-443849
-449432,-443849
-476791,-443849
-474240,-443849
-460395,-443849
-466112,-443849
-467017,-443849
-464770,-443849
-461180,-443849
-456740,-443849
-466342,-443849
-450296,-443849
-459568,-443849
-468306,-443849
-477344,-443849
-460711,-443849
-468299,-443849
-468694,-443849
-468288,-443849
-461068,-443849
-468698,-443849
-474467,-443849
-450846,-443849
-467590,-443849
-451041,-443849
-464251,-443849
-471170,-443849
-459322,-443849
-454799,-443849
-461721,-443849
-470254,-443849
-468504,-443849
-478347,-443849
-452899,-443849
-466121,-443849
-472605,-443849
-464374,-443849
-466033,-443849
-460548,-443849
-464352,-443849
-449484,-443849
-468285,-443849
-466366,-443849
-466974,-443849
-459973,-443849
-448962,-443849
-470236,-443849
-458325,-443849
-459034,-443849
-457447,-443849
-461899,-443849
-456434,-443849
-462519,-443849
-462342,-443849
-476395,-443849
-473115,-443849
-457161,-443849
-463497,-443849
-457283,-443849
-462636,-443849
-468310,-443849
-463450,-443849
-462572,-443849
-450725,-443849
-463007,-443849
-460024,-443849
-464291,-443849
-458000,-443849
-452636,-443849
-461559,-443849
-468928,-443849
-453104,-443849
-454534,-443849
-451458,-443849
-464488,-443849
-463892,-443849
-466583,-443849
-454679,-443849
-459432,-443849
