target,best_result
-17042,-17042
-18033,-18033
-17673,-17673
-16959,-16959
-18666,-16959
-16392,-16392
-18273,-16392
-17211,-16392
-17557,-16392
-16539,-16392
-16346,-16346
-17116,-16346
-18932,-16346
-17209,-16346
-17261,-16346
-18039,-16346
-17145,-16346
-17728,-16346
-18355,-16346
-17505,-16346
-18295,-16346
-17651,-16346
-16334,-16334
-19368,-16334
-18240,-16334
-17507,-16334
-18699,-16334
-17544,-16334
-16504,-16334
-16721,-16334
-17098,-16334
-16687,-16334
-17643,-16334
-16829,-16334
-18001,-16334
-18078,-16334
-18956,-16334
-18316,-16334
-17130,-16334
-16590,-16334
-17152,-16334
-16702,-16334
-17970,-16334
-17899,-16334
-18627,-16334
-17574,-16334
-18284,-16334
-17866,-16334
-18467,-16334
-18053,-16334
-17728,-16334
-19366,-16334
-17991,-16334
-18616,-16334
-18067,-16334
-18799,-16334
-17412,-16334
-17949,-16334
-17545,-16334
-17029,-16334
-18170,-16334
-17773,-16334
-16705,-16334
-19601,-16334
-17470,-16334
-17834,-16334
-18353,-16334
-17120,-16334
-16434,-16334
-17058,-16334
-18551,-16334
-17490,-16334
-17653,-16334
-16788,-16334
-17590,-16334
-16596,-16334
-16186,-16186
-17724,-16186
-17401,-16186
-17833,-16186
-17228,-16186
-17091,-16186
-17165,-16186
-17814,-16186
-16383,-16186
-16844,-16186
-17792,-16186
-17326,-16186
-18002,-16186
-15524,-15524
-18164,-15524
-17336,-15524
-18313,-15524
-18490,-15524
-17959,-15524
-16575,-15524
-16327,-15524
-16895,-15524
-16966,-15524
-16663,-15524
-16297,-15524
-17869,-15524
-17813,-15524
-18087,-15524
-16863,-15524
-17205,-15524
-16623,-15524
-17864,-15524
-18650,-15524
-17509,-15524
-17712,-15524
-17349,-15524
-19011,-15524
-17856,-15524
-19242,-15524
-17138,-15524
-16456,-15524
-16772,-15524
-18342,-15524
-18370,-15524
-17625,-15524
-17778,-15524
-16538,-15524
-18301,-15524
-18513,-15524
-17478,-15524
-17820,-15524
-19094,-15524
-17669,-15524
-19802,-15524
-17412,-15524
-18037,-15524
-16723,-15524
-16982,-15524
-19264,-15524
-17693,-15524
-18418,-15524
-18536,-15524
-18551,-15524
-17328,-15524
-16678,-15524
-18322,-15524
-18077,-15524
-16968,-15524
-16954,-15524
-17374,-15524
-17811,-15524
-17319,-15524
