target,best_result
-102010,-102010
-97212,-97212
-93900,-93900
-91505,-91505
-91722,-91505
-97785,-91505
-90871,-90871
-92877,-90871
-93056,-90871
-88604,-88604
-95368,-88604
-88744,-88604
-89003,-88604
-96338,-88604
-93031,-88604
-94919,-88604
-87929,-87929
-90522,-87929
-90050,-87929
-93708,-87929
-89011,-87929
-91901,-87929
-93644,-87929
-92926,-87929
-93626,-87929
-97574,-87929
-93956,-87929
-91596,-87929
-87779,-87779
-89269,-87779
-85660,-85660
-90106,-85660
-89870,-85660
-94491,-85660
-91127,-85660
-94694,-85660
-91613,-85660
-88216,-85660
-95424,-85660
-96696,-85660
-89625,-85660
-91710,-85660
-90107,-85660
-92613,-85660
-89157,-85660
-88367,-85660
-86289,-85660
-89127,-85660
-84933,-84933
-93614,-84933
-92604,-84933
-90327,-84933
-92273,-84933
-87135,-84933
-91419,-84933
-90673,-84933
-91611,-84933
-92232,-84933
-91133,-84933
-93536,-84933
-93337,-84933
-91196,-84933
-83116,-83116
-88484,-83116
-97961,-83116
-83010,-83010
-91590,-83010
-92564,-83010
-87757,-83010
-92892,-83010
-88412,-83010
-88665,-83010
-89481,-83010
-91925,-83010
-93231,-83010
-88242,-83010
-85222,-83010
-93700,-83010
-89728,-83010
-87058,-83010
-89917,-83010
-90744,-83010
-88977,-83010
-91433,-83010
-87109,-83010
-90880,-83010
-86888,-83010
-89946,-83010
-91157,-83010
-89280,-83010
-86157,-83010
-94953,-83010
-87259,-83010
-91753,-83010
-93799,-83010
-89498,-83010
-86429,-83010
-91219,-83010
-88677,-83010
-88022,-83010
-85756,-83010
-100699,-83010
-91645,-83010
-92712,-83010
-92476,-83010
-90117,-83010
-93843,-83010
-93534,-83010
-90531,-83010
-87758,-83010
-89108,-83010
-95044,-83010
-87515,-83010
-93614,-83010
-95895,-83010
-96450,-83010
-88917,-83010
-87782,-83010
-90728,-83010
-93364,-83010
-86492,-83010
-88918,-83010
-95456,-83010
-84548,-83010
-84631,-83010
-88092,-83010
-91646,-83010
-89728,-83010
-92617,-83010
-84683,-83010
-93674,-83010
-90085,-83010
-88339,-83010
-89195,-83010
-93481,-83010
-87009,-83010
-88977,-83010
-87127,-83010
-89270,-83010
-88049,-83010
-90517,-83010
-86284,-83010
-91687,-83010
-90101,-83010
-99923,-83010
-90091,-83010
-89153,-83010
-91546,-83010
-94223,-83010
-89873,-83010
-92313,-83010
-85330,-83010
-91146,-83010
-92394,-83010
-88221,-83010
-86865,-83010
-84935,-83010
-86182,-83010
-91604,-83010
-92227,-83010
-85612,-83010
-93594,-83010
-86119,-83010
-90612,-83010
-92683,-83010
-86721,-83010
-88253,-83010
-93019,-83010
-89639,-83010
-86223,-83010
-94584,-83010
-89111,-83010
-91482,-83010
-86824,-83010
-87731,-83010
-90472,-83010
-87355,-83010
-88694,-83010
-92287,-83010
-92388,-83010
-95513,-83010
-92711,-83010
-89705,-83010
-89809,-83010
-92089,-83010
-88851,-83010
-92797,-83010
-92617,-83010
-86798,-83010
-86550,-83010
-91590,-83010
-89336,-83010
-93818,-83010
-85916,-83010
-89643,-83010
-84804,-83010
-88735,-83010
-83046,-83010
-95443,-83010
-91146,-83010
