target,best_result
-376858,-376858
-382797,-376858
-380873,-376858
-365824,-365824
-370430,-365824
-391120,-365824
-371607,-365824
-379052,-365824
-388112,-365824
-371028,-365824
-370411,-365824
-376508,-365824
-391147,-365824
-378685,-365824
-386676,-365824
-370660,-365824
-370840,-365824
-376577,-365824
-367765,-365824
-382383,-365824
-374396,-365824
-373812,-365824
-362615,-362615
-378416,-362615
-382900,-362615
-374672,-362615
-367381,-362615
-375826,-362615
-380267,-362615
-383475,-362615
-367377,-362615
-386878,-362615
-374808,-362615
-365379,-362615
-385719,-362615
-364203,-362615
-366908,-362615
-360448,-360448
-384905,-360448
-363965,-360448
-372723,-360448
-370093,-360448
-368143,-360448
-374050,-360448
-384275,-360448
-369711,-360448
-367451,-360448
-382569,-360448
-380689,-360448
-379010,-360448
-371529,-360448
-375018,-360448
-391182,-360448
-373435,-360448
-374890,-360448
-387884,-360448
-367463,-360448
-368276,-360448
-387510,-360448
-369370,-360448
-375189,-360448
-390325,-360448
-362884,-360448
-371251,-360448
-373196,-360448
-382933,-360448
-377213,-360448
-367985,-360448
-378416,-360448
-379265,-360448
-365720,-360448
-372498,-360448
-380532,-360448
-369014,-360448
-382124,-360448
-370639,-360448
-372085,-360448
-376094,-360448
-372149,-360448
-371947,-360448
-365722,-360448
-370666,-360448
-394701,-360448
-377423,-360448
-374596,-360448
-376921,-360448
-378861,-360448
-386338,-360448
-397188,-360448
-367978,-360448
-369832,-360448
-381340,-360448
-372157,-360448
-366402,-360448
-370468,-360448
-368039,-360448
-371417,-360448
-373708,-360448
-372279,-360448
-370052,-360448
-370023,-360448
-367263,-360448
-366400,-360448
-382578,-360448
-389413,-360448
-372004,-360448
-373339,-360448
-378999,-360448
-367857,-360448
-368429,-360448
-368979,-360448
-380217,-360448
-388123,-360448
-372501,-360448
-363272,-360448
-370942,-360448
-367148,-360448
-364924,-360448
-372533,-360448
-383975,-360448
-383804,-360448
-383543,-360448
-367133,-360448
-378799,-360448
-370126,-360448
-367229,-360448
-386211,-360448
-377183,-360448
-368246,-360448
-383439,-360448
-355455,-355455
-363747,-355455
-375790,-355455
-379053,-355455
-364454,-355455
-370990,-355455
-370893,-355455
-379767,-355455
-372281,-355455
-375471,-355455
-366240,-355455
-370990,-355455
-374599,-355455
-369323,-355455
-365993,-355455
-368418,-355455
-372310,-355455
-367577,-355455
-373633,-355455
-374386,-355455
-364845,-355455
-373992,-355455
-373669,-355455
-359773,-355455
-365478,-355455
-358073,-355455
-371012,-355455
-385277,-355455
-376985,-355455
-369262,-355455
-365526,-355455
-378029,-355455
-354896,-354896
-369831,-354896
-379786,-354896
-370155,-354896
-369015,-354896
-373238,-354896
-370704,-354896
-368871,-354896
-371050,-354896
-375703,-354896
-365446,-354896
-368889,-354896
-374238,-354896
-364556,-354896
-369405,-354896
-371106,-354896
-370870,-354896
-375541,-354896
-365361,-354896
-376504,-354896
-367101,-354896
-374931,-354896
-372658,-354896
-374266,-354896
-371383,-354896
-365506,-354896
-381362,-354896
-371917,-354896
-365508,-354896
-364700,-354896
-370251,-354896
-378736,-354896
-367306,-354896
-375062,-354896
-364397,-354896
-388953,-354896
-367097,-354896
-354519,-354519
