target,best_result
-309295,-309295
-323623,-309295
-311256,-309295
-309964,-309295
-317971,-309295
-305831,-305831
-302677,-302677
-315986,-302677
-306346,-302677
-319334,-302677
-298873,-298873
-313029,-298873
-304099,-298873
-295455,-295455
-300843,-295455
-310365,-295455
-315170,-295455
-309606,-295455
-308161,-295455
-302047,-295455
-319529,-295455
-311236,-295455
-313841,-295455
-299647,-295455
-312499,-295455
-307151,-295455
-293733,-293733
-291073,-291073
-305895,-291073
-307439,-291073
-300789,-291073
-315706,-291073
-309217,-291073
-314128,-291073
-304778,-291073
-327018,-291073
-293331,-291073
-303253,-291073
-318592,-291073
-303892,-291073
-310020,-291073
-300476,-291073
-336379,-291073
-311823,-291073
-297626,-291073
-314834,-291073
-315939,-291073
-311423,-291073
-305788,-291073
-301818,-291073
-297739,-291073
-316859,-291073
-305828,-291073
-315049,-291073
-309625,-291073
-310924,-291073
-317630,-291073
-299439,-291073
-314719,-291073
-306735,-291073
-321352,-291073
-301427,-291073
-300003,-291073
-303014,-291073
-299638,-291073
-299173,-291073
-307624,-291073
-324748,-291073
-299776,-291073
-299655,-291073
-296518,-291073
-307077,-291073
-310798,-291073
-300702,-291073
-291107,-291073
-303586,-291073
-292602,-291073
-297565,-291073
-293604,-291073
-300047,-291073
-316325,-291073
-293676,-291073
-308526,-291073
-282155,-282155
-307015,-282155
-303331,-282155
-309588,-282155
-296824,-282155
-293229,-282155
-299380,-282155
-297301,-282155
-283907,-282155
-293235,-282155
-300658,-282155
-310249,-282155
-284586,-282155
-301063,-282155
-296812,-282155
-295037,-282155
-296628,-282155
-304471,-282155
-305066,-282155
-295799,-282155
-286920,-282155
-308612,-282155
-289778,-282155
-306805,-282155
-290593,-282155
-299538,-282155
-306416,-282155
-287977,-282155
-291713,-282155
-291769,-282155
-307867,-282155
-289391,-282155
-298226,-282155
-299328,-282155
-301772,-282155
-296475,-282155
-298961,-282155
-297337,-282155
-298968,-282155
-302733,-282155
-304852,-282155
-312519,-282155
-293769,-282155
-291329,-282155
-296436,-282155
-312127,-282155
-302832,-282155
-305041,-282155
-298401,-282155
-297136,-282155
-300976,-282155
-311592,-282155
-308770,-282155
-301760,-282155
-293845,-282155
-286499,-282155
-292488,-282155
-320557,-282155
-299861,-282155
-292807,-282155
-311194,-282155
-300154,-282155
-297105,-282155
-306386,-282155
-304400,-282155
-309548,-282155
-301502,-282155
-294496,-282155
-295437,-282155
-306677,-282155
-301571,-282155
-299778,-282155
-289157,-282155
-299253,-282155
-299372,-282155
-292827,-282155
-285493,-282155
-299298,-282155
-300896,-282155
-298534,-282155
-313528,-282155
-294326,-282155
-307670,-282155
-291256,-282155
-317262,-282155
-292673,-282155
-297504,-282155
-299542,-282155
-300803,-282155
-304333,-282155
-290432,-282155
-300154,-282155
-288966,-282155
-291299,-282155
-292695,-282155
-306172,-282155
-296934,-282155
-298165,-282155
-300023,-282155
-299327,-282155
-295629,-282155
-287033,-282155
-306391,-282155
-316655,-282155
-307768,-282155
-310042,-282155
-300178,-282155
-296077,-282155
-284184,-282155
-301112,-282155
-293455,-282155
-289731,-282155
-300051,-282155
-297513,-282155
-310170,-282155
-297633,-282155
-299950,-282155
