target,best_result
-155841,-155841
-151485,-151485
-146455,-146455
-150362,-146455
-153560,-146455
-154079,-146455
-157350,-146455
-154516,-146455
-147267,-146455
-151877,-146455
-147415,-146455
-152132,-146455
-156100,-146455
-156068,-146455
-153992,-146455
-146503,-146455
-154441,-146455
-150221,-146455
-150255,-146455
-154126,-146455
-148884,-146455
-155572,-146455
-150305,-146455
-151282,-146455
-154423,-146455
-152328,-146455
-150976,-146455
-151205,-146455
-149860,-146455
-148629,-146455
-155879,-146455
-151672,-146455
-152148,-146455
-147530,-146455
-150794,-146455
-152588,-146455
-146800,-146455
-148196,-146455
-147770,-146455
-157195,-146455
-151444,-146455
-150001,-146455
-152632,-146455
-151961,-146455
-151201,-146455
-156820,-146455
-158539,-146455
-154225,-146455
-149186,-146455
-157040,-146455
-151499,-146455
-153489,-146455
-155247,-146455
-149755,-146455
-153186,-146455
-153222,-146455
-157867,-146455
-154334,-146455
-158960,-146455
-152424,-146455
-153302,-146455
-149622,-146455
-147627,-146455
-156219,-146455
-164859,-146455
-152217,-146455
-154103,-146455
-157653,-146455
-147034,-146455
-151246,-146455
-150342,-146455
-144608,-144608
-146781,-144608
-146937,-144608
-143931,-143931
-155896,-143931
-144778,-143931
-145259,-143931
-147764,-143931
-143190,-143190
-149482,-143190
-147615,-143190
-149470,-143190
-149476,-143190
-150778,-143190
-147179,-143190
-151954,-143190
-149388,-143190
-147617,-143190
-144958,-143190
-145369,-143190
-142728,-142728
-151988,-142728
-149008,-142728
-150472,-142728
-150113,-142728
-147396,-142728
-149994,-142728
-152157,-142728
-148120,-142728
-151182,-142728
-144784,-142728
-148588,-142728
-149231,-142728
-146164,-142728
-152938,-142728
-147979,-142728
-149323,-142728
-144149,-142728
-150258,-142728
-147029,-142728
-143007,-142728
-149070,-142728
-145218,-142728
-152024,-142728
-151081,-142728
-151135,-142728
-146257,-142728
-145656,-142728
-153861,-142728
-149854,-142728
-148636,-142728
-147080,-142728
-152306,-142728
-146123,-142728
-149005,-142728
-151170,-142728
-146926,-142728
-149240,-142728
-146392,-142728
-151530,-142728
-155205,-142728
-150004,-142728
-147218,-142728
-144340,-142728
-148702,-142728
-144850,-142728
-153404,-142728
-143620,-142728
-147727,-142728
-147356,-142728
-144995,-142728
-145642,-142728
-142642,-142642
-152375,-142642
-150990,-142642
-148502,-142642
-150673,-142642
-150347,-142642
-150247,-142642
-149955,-142642
-154656,-142642
-148049,-142642
-153798,-142642
-144701,-142642
-151124,-142642
-146572,-142642
-147553,-142642
-148480,-142642
-145341,-142642
-151350,-142642
-146990,-142642
-147279,-142642
-151739,-142642
-154515,-142642
-154186,-142642
-150328,-142642
-148178,-142642
-149099,-142642
-150547,-142642
-148856,-142642
-148415,-142642
-149117,-142642
-154090,-142642
-145674,-142642
-154227,-142642
-148383,-142642
-150950,-142642
-149242,-142642
-150816,-142642
-159187,-142642
-147526,-142642
-150252,-142642
-146258,-142642
-149846,-142642
-155622,-142642
-147943,-142642
-146879,-142642
-148497,-142642
-154169,-142642
-150557,-142642
-148118,-142642
-146056,-142642
-145618,-142642
-145701,-142642
-149499,-142642
-153302,-142642
-151409,-142642
-149198,-142642
-151883,-142642
