target,best_result
-94898,-94898
-91275,-91275
-89604,-89604
-87638,-87638
-88814,-87638
-89718,-87638
-91331,-87638
-95207,-87638
-93785,-87638
-89531,-87638
-86380,-86380
-91859,-86380
-91345,-86380
-92466,-86380
-93171,-86380
-94071,-86380
-93178,-86380
-88475,-86380
-91812,-86380
-95731,-86380
-89595,-86380
-93469,-86380
-91024,-86380
-93622,-86380
-89208,-86380
-96478,-86380
-93064,-86380
-89666,-86380
-88110,-86380
-92009,-86380
-92904,-86380
-88354,-86380
-94332,-86380
-94388,-86380
-91851,-86380
-97398,-86380
-91869,-86380
-91004,-86380
-90727,-86380
-86627,-86380
-88250,-86380
-92525,-86380
-89625,-86380
-85659,-85659
-88501,-85659
-82633,-82633
-88031,-82633
-82568,-82568
-88115,-82568
-87906,-82568
-88026,-82568
-87151,-82568
-88296,-82568
-90552,-82568
-83115,-82568
-84942,-82568
-87445,-82568
-89164,-82568
-81097,-81097
-87763,-81097
-83843,-81097
-85395,-81097
-91056,-81097
-91950,-81097
-87567,-81097
-85049,-81097
-86701,-81097
-84986,-81097
-85321,-81097
-86086,-81097
-87395,-81097
-89809,-81097
-87229,-81097
-87858,-81097
-87196,-81097
-87960,-81097
-87653,-81097
-93857,-81097
-86982,-81097
-87554,-81097
-89161,-81097
-82381,-81097
-93146,-81097
-91742,-81097
-93516,-81097
-86891,-81097
-85486,-81097
-87084,-81097
-88225,-81097
-87303,-81097
-89359,-81097
-84298,-81097
-88982,-81097
-88663,-81097
-89702,-81097
-86694,-81097
-90243,-81097
-89167,-81097
-89329,-81097
-88144,-81097
-86397,-81097
-96080,-81097
-84343,-81097
-86546,-81097
-89270,-81097
-91168,-81097
-87378,-81097
-84070,-81097
-92813,-81097
-85730,-81097
-84371,-81097
-92478,-81097
-84720,-81097
-90112,-81097
-89878,-81097
-88876,-81097
-91424,-81097
-86900,-81097
-88622,-81097
-88730,-81097
-89453,-81097
-90071,-81097
-86816,-81097
-94103,-81097
-85885,-81097
-84728,-81097
-94278,-81097
-93911,-81097
-89904,-81097
-93998,-81097
-88901,-81097
-80823,-80823
-90661,-80823
-87585,-80823
-87028,-80823
-93144,-80823
-83816,-80823
-89021,-80823
-93800,-80823
-88637,-80823
-86753,-80823
-82541,-80823
-85804,-80823
-91009,-80823
-88340,-80823
-88868,-80823
-81853,-80823
-88931,-80823
-87794,-80823
-90248,-80823
-87439,-80823
-90308,-80823
-86767,-80823
-86893,-80823
-86434,-80823
-90277,-80823
-87939,-80823
-87051,-80823
-89777,-80823
-85082,-80823
-83115,-80823
-92250,-80823
-90371,-80823
-94817,-80823
-86149,-80823
-87608,-80823
-85515,-80823
-90320,-80823
-87536,-80823
-86686,-80823
-86110,-80823
-87239,-80823
-89088,-80823
-87998,-80823
-87401,-80823
-87353,-80823
-85110,-80823
-89094,-80823
-89566,-80823
-87533,-80823
-90863,-80823
-89603,-80823
-87510,-80823
-88858,-80823
-90987,-80823
-85494,-80823
-82699,-80823
-88506,-80823
-85931,-80823
-88424,-80823
-86317,-80823
-84461,-80823
-85212,-80823
-90014,-80823
-88550,-80823
-89110,-80823
-86732,-80823
-89224,-80823
-86994,-80823
-84536,-80823
