target,best_result
-328212,-328212
-327960,-327960
-319236,-319236
-318821,-318821
-334283,-318821
-337205,-318821
-320535,-318821
-335645,-318821
-312934,-312934
-320720,-312934
-308972,-308972
-329199,-308972
-330007,-308972
-323760,-308972
-308452,-308452
-311787,-308452
-306396,-306396
-318389,-306396
-314021,-306396
-323115,-306396
-318822,-306396
-308362,-306396
-315398,-306396
-303064,-303064
-320167,-303064
-308904,-303064
-312678,-303064
-322005,-303064
-317098,-303064
-321426,-303064
-309973,-303064
-339474,-303064
-327323,-303064
-304680,-303064
-322047,-303064
-316404,-303064
-309105,-303064
-309189,-303064
-308334,-303064
-316298,-303064
-327387,-303064
-299460,-299460
-314397,-299460
-315791,-299460
-307502,-299460
-319792,-299460
-315178,-299460
-319839,-299460
-305954,-299460
-313755,-299460
-320465,-299460
-306578,-299460
-310660,-299460
-305309,-299460
-316527,-299460
-315387,-299460
-311787,-299460
-310589,-299460
-321749,-299460
-318837,-299460
-306673,-299460
-319196,-299460
-328761,-299460
-322397,-299460
-312425,-299460
-320289,-299460
-305035,-299460
-325432,-299460
-302745,-299460
-309621,-299460
-328772,-299460
-332134,-299460
-303494,-299460
-317198,-299460
-310047,-299460
-328734,-299460
-315060,-299460
-301394,-299460
-317614,-299460
-326666,-299460
-309309,-299460
-306523,-299460
-319834,-299460
-312391,-299460
-312747,-299460
-322272,-299460
-296644,-296644
-314806,-296644
-323534,-296644
-315325,-296644
-315174,-296644
-307662,-296644
-302013,-296644
-318820,-296644
-307953,-296644
-299179,-296644
-304994,-296644
-307369,-296644
-311090,-296644
-334485,-296644
-326634,-296644
-317789,-296644
-317445,-296644
-314957,-296644
-327922,-296644
-309686,-296644
-316435,-296644
-317269,-296644
-323762,-296644
-303766,-296644
-318677,-296644
-313370,-296644
-320878,-296644
-303394,-296644
-311691,-296644
-298242,-296644
-314713,-296644
-314368,-296644
-313916,-296644
-317580,-296644
-323157,-296644
-326755,-296644
-315889,-296644
-328691,-296644
-309440,-296644
-309299,-296644
-298284,-296644
-298322,-296644
-316178,-296644
-320584,-296644
-313496,-296644
-300694,-296644
-332456,-296644
-320799,-296644
-319235,-296644
-317100,-296644
-316134,-296644
-304924,-296644
-314033,-296644
-308417,-296644
-314502,-296644
-310984,-296644
-313984,-296644
-299547,-296644
-305836,-296644
-303745,-296644
-294244,-294244
-311959,-294244
-297120,-294244
-319478,-294244
-305955,-294244
-303218,-294244
-313867,-294244
-321151,-294244
-322186,-294244
-308483,-294244
-315584,-294244
-317400,-294244
-318064,-294244
-315815,-294244
-301310,-294244
-319275,-294244
-316679,-294244
-316439,-294244
-297636,-294244
-312502,-294244
-325917,-294244
-319233,-294244
-314860,-294244
-321263,-294244
-307546,-294244
-327323,-294244
-319781,-294244
-324419,-294244
-307958,-294244
-308481,-294244
-309119,-294244
-322016,-294244
-335940,-294244
-300515,-294244
-301080,-294244
-305726,-294244
-310967,-294244
-305661,-294244
-310229,-294244
-305954,-294244
-311079,-294244
-310581,-294244
-306531,-294244
-310143,-294244
-307678,-294244
-313837,-294244
-315544,-294244
-314269,-294244
-317873,-294244
-297401,-294244
-331228,-294244
-293848,-293848
-318308,-293848
-311492,-293848
