target,best_result
-89102,-89102
-84984,-84984
-84015,-84015
-86407,-84015
-83784,-83784
-84881,-83784
-83908,-83784
-86876,-83784
-88396,-83784
-97431,-83784
-86331,-83784
-87753,-83784
-82208,-82208
-80609,-80609
-83818,-80609
-86122,-80609
-89318,-80609
-83605,-80609
-87940,-80609
-83896,-80609
-81933,-80609
-84831,-80609
-78851,-78851
-85134,-78851
-84887,-78851
-82596,-78851
-79359,-78851
-83197,-78851
-83159,-78851
-85228,-78851
-86856,-78851
-84771,-78851
-82933,-78851
-83596,-78851
-81479,-78851
-84348,-78851
-82544,-78851
-86638,-78851
-88501,-78851
-86662,-78851
-87196,-78851
-82990,-78851
-79897,-78851
-88611,-78851
-79776,-78851
-85421,-78851
-83428,-78851
-88507,-78851
-83110,-78851
-86127,-78851
-81662,-78851
-85440,-78851
-79505,-78851
-89758,-78851
-87806,-78851
-82089,-78851
-81649,-78851
-83648,-78851
-81427,-78851
-87155,-78851
-87084,-78851
-78215,-78215
-85765,-78215
-82654,-78215
-82776,-78215
-81998,-78215
-87034,-78215
-83005,-78215
-83426,-78215
-87889,-78215
-88488,-78215
-81913,-78215
-83186,-78215
-85353,-78215
-82437,-78215
-86493,-78215
-81661,-78215
-84559,-78215
-89237,-78215
-83235,-78215
-84252,-78215
-85192,-78215
-82233,-78215
-83386,-78215
-86083,-78215
-86295,-78215
-84265,-78215
-88049,-78215
-79041,-78215
-89402,-78215
-88565,-78215
-87847,-78215
-85629,-78215
-81872,-78215
-88519,-78215
-83753,-78215
-81450,-78215
-85745,-78215
-83527,-78215
-81076,-78215
-83430,-78215
-76958,-76958
-86535,-76958
-80549,-76958
-83884,-76958
-78838,-76958
-80324,-76958
-79368,-76958
-79849,-76958
-84760,-76958
-82691,-76958
-83947,-76958
-84063,-76958
-81989,-76958
-80640,-76958
-88611,-76958
-81719,-76958
-79024,-76958
-80166,-76958
-78760,-76958
-85907,-76958
-79748,-76958
-83966,-76958
-83945,-76958
-86222,-76958
-83251,-76958
-82636,-76958
-83529,-76958
-85269,-76958
-83525,-76958
-82899,-76958
-83146,-76958
-84455,-76958
-84150,-76958
-91624,-76958
-84969,-76958
-83746,-76958
-80822,-76958
-83351,-76958
-81275,-76958
-89314,-76958
-81419,-76958
-79209,-76958
-83180,-76958
-83104,-76958
-87470,-76958
-83179,-76958
-86831,-76958
-82935,-76958
-81101,-76958
-84128,-76958
-85522,-76958
-80350,-76958
-81831,-76958
-83263,-76958
-84885,-76958
-83837,-76958
-91606,-76958
-85510,-76958
-83522,-76958
-80357,-76958
-86708,-76958
-89803,-76958
-82588,-76958
-84609,-76958
-81075,-76958
-84014,-76958
-87210,-76958
-87094,-76958
-81181,-76958
-81073,-76958
-80402,-76958
-83277,-76958
-85923,-76958
-87309,-76958
-84246,-76958
-89167,-76958
-89411,-76958
-82650,-76958
-82917,-76958
-81426,-76958
-85361,-76958
-83437,-76958
-84793,-76958
-78877,-76958
-85066,-76958
-85428,-76958
-81298,-76958
-82514,-76958
-87811,-76958
-83508,-76958
-87580,-76958
-82007,-76958
-83140,-76958
-83287,-76958
-78892,-76958
-82690,-76958
-84728,-76958
-81355,-76958
-82926,-76958
